genome_id,genome_name,antibiotic,resistant_phenotype,label,organism
562.102873,Escherichia coli Escherichia_coli_DSM112118,ampicillin,susceptible,0,Escherichia coli
562.102873,Escherichia coli Escherichia_coli_DSM112118,ciprofloxacin,susceptible,0,Escherichia coli
562.102873,Escherichia coli Escherichia_coli_DSM112118,gentamicin,susceptible,0,Escherichia coli
562.102873,Escherichia coli Escherichia_coli_DSM112118,imipenem,susceptible,0,Escherichia coli
562.102873,Escherichia coli Escherichia_coli_DSM112118,tetracycline,susceptible,0,Escherichia coli
562.102873,Escherichia coli Escherichia_coli_DSM112118,trimethoprim,susceptible,0,Escherichia coli
562.102874,Escherichia coli Escherichia_coli_DSM112120,ampicillin,susceptible,0,Escherichia coli
562.102874,Escherichia coli Escherichia_coli_DSM112120,ciprofloxacin,susceptible,0,Escherichia coli
562.102874,Escherichia coli Escherichia_coli_DSM112120,gentamicin,susceptible,0,Escherichia coli
562.102874,Escherichia coli Escherichia_coli_DSM112120,imipenem,susceptible,0,Escherichia coli
562.102874,Escherichia coli Escherichia_coli_DSM112120,tetracycline,susceptible,0,Escherichia coli
562.102874,Escherichia coli Escherichia_coli_DSM112120,trimethoprim,susceptible,0,Escherichia coli
562.102875,Escherichia coli Escherichia_coli_DSM112116,ampicillin,susceptible,0,Escherichia coli
562.102875,Escherichia coli Escherichia_coli_DSM112116,ciprofloxacin,susceptible,0,Escherichia coli
562.102875,Escherichia coli Escherichia_coli_DSM112116,gentamicin,susceptible,0,Escherichia coli
562.102875,Escherichia coli Escherichia_coli_DSM112116,imipenem,susceptible,0,Escherichia coli
562.102875,Escherichia coli Escherichia_coli_DSM112116,tetracycline,susceptible,0,Escherichia coli
562.102875,Escherichia coli Escherichia_coli_DSM112116,trimethoprim,susceptible,0,Escherichia coli
562.102876,Escherichia coli Escherichia_coli_DSM112111,ampicillin,susceptible,0,Escherichia coli
562.102876,Escherichia coli Escherichia_coli_DSM112111,ciprofloxacin,susceptible,0,Escherichia coli
562.102876,Escherichia coli Escherichia_coli_DSM112111,gentamicin,susceptible,0,Escherichia coli
562.102876,Escherichia coli Escherichia_coli_DSM112111,imipenem,susceptible,0,Escherichia coli
562.102876,Escherichia coli Escherichia_coli_DSM112111,tetracycline,susceptible,0,Escherichia coli
562.102876,Escherichia coli Escherichia_coli_DSM112111,trimethoprim,susceptible,0,Escherichia coli
562.102877,Escherichia coli Escherichia_coli_DSM112126,ampicillin,susceptible,0,Escherichia coli
562.102877,Escherichia coli Escherichia_coli_DSM112126,ciprofloxacin,susceptible,0,Escherichia coli
562.102877,Escherichia coli Escherichia_coli_DSM112126,gentamicin,susceptible,0,Escherichia coli
562.102877,Escherichia coli Escherichia_coli_DSM112126,imipenem,susceptible,0,Escherichia coli
562.102877,Escherichia coli Escherichia_coli_DSM112126,tetracycline,susceptible,0,Escherichia coli
562.102877,Escherichia coli Escherichia_coli_DSM112126,trimethoprim,susceptible,0,Escherichia coli
562.102878,Escherichia coli Escherichia_coli_DSM112119,ampicillin,susceptible,0,Escherichia coli
562.102878,Escherichia coli Escherichia_coli_DSM112119,ciprofloxacin,susceptible,0,Escherichia coli
562.102878,Escherichia coli Escherichia_coli_DSM112119,gentamicin,susceptible,0,Escherichia coli
562.102878,Escherichia coli Escherichia_coli_DSM112119,imipenem,susceptible,0,Escherichia coli
562.102878,Escherichia coli Escherichia_coli_DSM112119,tetracycline,susceptible,0,Escherichia coli
562.102878,Escherichia coli Escherichia_coli_DSM112119,trimethoprim,susceptible,0,Escherichia coli
562.102879,Escherichia coli Escherichia_coli_DSM112114,ampicillin,susceptible,0,Escherichia coli
562.102879,Escherichia coli Escherichia_coli_DSM112114,ciprofloxacin,susceptible,0,Escherichia coli
562.102879,Escherichia coli Escherichia_coli_DSM112114,gentamicin,susceptible,0,Escherichia coli
562.102879,Escherichia coli Escherichia_coli_DSM112114,imipenem,susceptible,0,Escherichia coli
562.102879,Escherichia coli Escherichia_coli_DSM112114,tetracycline,susceptible,0,Escherichia coli
562.102879,Escherichia coli Escherichia_coli_DSM112114,trimethoprim,susceptible,0,Escherichia coli
562.102880,Escherichia coli Escherichia_coli_DSM112127,ampicillin,susceptible,0,Escherichia coli
562.102880,Escherichia coli Escherichia_coli_DSM112127,ciprofloxacin,susceptible,0,Escherichia coli
562.102880,Escherichia coli Escherichia_coli_DSM112127,gentamicin,susceptible,0,Escherichia coli
562.102880,Escherichia coli Escherichia_coli_DSM112127,imipenem,susceptible,0,Escherichia coli
562.102880,Escherichia coli Escherichia_coli_DSM112127,tetracycline,susceptible,0,Escherichia coli
562.102880,Escherichia coli Escherichia_coli_DSM112127,trimethoprim,susceptible,0,Escherichia coli
562.135462,Escherichia coli 23-C-YW-2_Escherichia,ampicillin,resistant,1,Escherichia coli
562.135462,Escherichia coli 23-C-YW-2_Escherichia,ciprofloxacin,resistant,1,Escherichia coli
562.135462,Escherichia coli 23-C-YW-2_Escherichia,gentamicin,susceptible,0,Escherichia coli
562.135462,Escherichia coli 23-C-YW-2_Escherichia,imipenem,resistant,1,Escherichia coli
562.135462,Escherichia coli 23-C-YW-2_Escherichia,tetracycline,susceptible,0,Escherichia coli
562.135462,Escherichia coli 23-C-YW-2_Escherichia,trimethoprim,resistant,1,Escherichia coli
562.140876,Escherichia coli 010-E1-DxU-E_coli,ampicillin,resistant,1,Escherichia coli
562.140876,Escherichia coli 010-E1-DxU-E_coli,imipenem,susceptible,0,Escherichia coli
562.140876,Escherichia coli 010-E1-DxU-E_coli,ciprofloxacin,resistant,1,Escherichia coli
562.140876,Escherichia coli 010-E1-DxU-E_coli,gentamicin,susceptible,0,Escherichia coli
1144303.11,Escherichia coli J53 strain E. coli,ampicillin,resistant,1,Escherichia coli
1144303.11,Escherichia coli J53 strain E. coli,ciprofloxacin,susceptible,0,Escherichia coli
1144303.11,Escherichia coli J53 strain E. coli,gentamicin,resistant,1,Escherichia coli
1144303.11,Escherichia coli J53 strain E. coli,imipenem,susceptible,0,Escherichia coli
1144303.11,Escherichia coli J53 strain E. coli,tetracycline,resistant,1,Escherichia coli
1144303.11,Escherichia coli J53 strain E. coli,trimethoprim,susceptible,0,Escherichia coli
1144303.12,Escherichia coli J53 strain E. coli,ampicillin,resistant,1,Escherichia coli
1144303.12,Escherichia coli J53 strain E. coli,ciprofloxacin,susceptible,0,Escherichia coli
1144303.12,Escherichia coli J53 strain E. coli,gentamicin,resistant,1,Escherichia coli
1144303.12,Escherichia coli J53 strain E. coli,imipenem,susceptible,0,Escherichia coli
1144303.12,Escherichia coli J53 strain E. coli,tetracycline,susceptible,0,Escherichia coli
1144303.12,Escherichia coli J53 strain E. coli,trimethoprim,susceptible,0,Escherichia coli
562.9322,Escherichia coli strain E. coli ErtS,ampicillin,resistant,1,Escherichia coli
562.9322,Escherichia coli strain E. coli ErtS,ciprofloxacin,resistant,1,Escherichia coli
562.9322,Escherichia coli strain E. coli ErtS,gentamicin,susceptible,0,Escherichia coli
562.9322,Escherichia coli strain E. coli ErtS,imipenem,susceptible,0,Escherichia coli
562.9322,Escherichia coli strain E. coli ErtS,tetracycline,resistant,1,Escherichia coli
562.9322,Escherichia coli strain E. coli ErtS,trimethoprim,resistant,1,Escherichia coli
562.16426,Escherichia coli strain HB-Coli0,ampicillin,susceptible,0,Escherichia coli
562.16426,Escherichia coli strain HB-Coli0,ciprofloxacin,resistant,1,Escherichia coli
562.16426,Escherichia coli strain HB-Coli0,gentamicin,susceptible,0,Escherichia coli
562.16426,Escherichia coli strain HB-Coli0,imipenem,susceptible,0,Escherichia coli
562.16426,Escherichia coli strain HB-Coli0,tetracycline,resistant,1,Escherichia coli
562.16426,Escherichia coli strain HB-Coli0,trimethoprim,resistant,1,Escherichia coli
562.24626,Escherichia coli strain HB-Coli0,ampicillin,resistant,1,Escherichia coli
562.24626,Escherichia coli strain HB-Coli0,ciprofloxacin,susceptible,0,Escherichia coli
562.24626,Escherichia coli strain HB-Coli0,gentamicin,susceptible,0,Escherichia coli
562.24626,Escherichia coli strain HB-Coli0,imipenem,susceptible,0,Escherichia coli
562.24626,Escherichia coli strain HB-Coli0,tetracycline,susceptible,0,Escherichia coli
562.24626,Escherichia coli strain HB-Coli0,trimethoprim,resistant,1,Escherichia coli
562.24627,Escherichia coli strain HB-Coli0,ampicillin,resistant,1,Escherichia coli
562.24627,Escherichia coli strain HB-Coli0,ciprofloxacin,susceptible,0,Escherichia coli
562.24627,Escherichia coli strain HB-Coli0,gentamicin,susceptible,0,Escherichia coli
562.24627,Escherichia coli strain HB-Coli0,imipenem,susceptible,0,Escherichia coli
562.24627,Escherichia coli strain HB-Coli0,tetracycline,susceptible,0,Escherichia coli
562.24627,Escherichia coli strain HB-Coli0,trimethoprim,resistant,1,Escherichia coli
562.24628,Escherichia coli strain HB-Coli0,ampicillin,resistant,1,Escherichia coli
562.24628,Escherichia coli strain HB-Coli0,ciprofloxacin,susceptible,0,Escherichia coli
562.24628,Escherichia coli strain HB-Coli0,gentamicin,susceptible,0,Escherichia coli
562.24628,Escherichia coli strain HB-Coli0,imipenem,susceptible,0,Escherichia coli
562.24628,Escherichia coli strain HB-Coli0,tetracycline,resistant,1,Escherichia coli
562.24628,Escherichia coli strain HB-Coli0,trimethoprim,resistant,1,Escherichia coli
562.30994,Escherichia coli strain E. coli RL465,ampicillin,resistant,1,Escherichia coli
562.30994,Escherichia coli strain E. coli RL465,ciprofloxacin,resistant,1,Escherichia coli
562.30994,Escherichia coli strain E. coli RL465,gentamicin,susceptible,0,Escherichia coli
562.30994,Escherichia coli strain E. coli RL465,imipenem,susceptible,0,Escherichia coli
562.30994,Escherichia coli strain E. coli RL465,tetracycline,resistant,1,Escherichia coli
562.30994,Escherichia coli strain E. coli RL465,trimethoprim,resistant,1,Escherichia coli
